gene	SG1-2014-09-5	SG1-2016-02-1	SG1-2015-06-3	SG1-2015-06-2	SG1-2016-02-4	SG1-2016-02-5	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-2	SG1-2016-02-2	SG1-2017-02-1	SG1-2017-02-5	SG1-2017-02-4	SG1-2017-02-3	SG1-2017-02-2	SG1-2015-06-1	SG1-2016-02-3	SG1-2015-06-5	SG1-2014-09-1	SG1-2015-06-4
dTDP-glucose_4,6-dehydratase	2	2	1	2	2	0	1	0	1	0	1	5	0	1	1	0	1	0	0	0
putative_hydrolase	0	1	1	1	2	3	0	1	1	0	0	1	0	0	1	0	2	0	0	1
50S_ribosomal_protein_L2	0	1	0	0	2	2	0	0	3	1	2	1	2	0	2	3	1	0	0	0
Bicarbonate_transport_system_permease_protein_CmpB	2	3	2	2	1	2	3	5	4	5	3	1	3	5	3	5	7	2	2	1
Urease_subunit_alpha	5	5	0	2	2	1	5	2	4	1	2	2	1	4	2	3	2	2	2	0
Ribonuclease_PH	2	1	2	4	0	2	1	1	2	3	0	4	0	9	2	2	3	3	3	4
2Fe-2S_ferredoxin-5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase	2	1	1	1	0	1	1	1	3	1	3	3	3	1	1	0	0	1	1	0
Putative_glutamate--cysteine_ligase_2	2	2	0	1	1	1	1	3	2	2	1	2	0	0	3	1	1	1	0	1
Cell_division_protein_FtsQ	3	2	0	2	3	1	2	1	2	0	3	3	2	2	0	1	2	0	0	0
Photosystem_I_reaction_center_subunit_XI	0	2	0	0	0	0	0	1	1	2	0	2	0	0	1	0	0	0	1	0
Neopullulanase	5	2	5	5	0	0	3	0	3	0	1	1	1	3	1	2	1	3	1	1
Adenosyl-chloride_synthase	1	2	2	2	0	0	2	1	0	1	3	9	0	3	1	1	0	1	2	0
2-hydroxyethylphosphonate_methyltransferase	0	3	3	3	1	1	2	1	1	3	0	1	5	4	2	2	4	0	1	1
Cell_division_protein_FtsZ	2	1	1	1	3	2	2	0	1	3	1	2	4	3	3	3	3	2	1	1
Glycine_sarcosine_N-methyltransferase	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
Sensor_histidine_kinase_TmoS	4	4	4	2	5	2	4	0	6	3	6	6	0	4	4	0	1	0	0	3
Iron-binding_protein_IscA	0	1	0	1	1	1	1	1	2	1	0	2	1	1	0	1	2	1	1	2
6,7-dimethyl-8-ribityllumazine_synthase	3	4	2	0	2	1	3	1	8	1	1	2	0	2	1	2	4	1	3	0
Peptide_chain_release_factor_2	3	2	0	3	0	0	0	0	0	2	2	2	1	0	0	1	2	1	3	0
Bifunctional_NAD(P)H-hydrate_repair_enzyme_Nnr	6	2	1	3	3	4	3	2	1	2	3	2	6	3	6	5	1	0	1	0
Protein_translocase_subunit_SecE	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
putative_ABC_transporter_ATP-binding_protein_YknY	84	3	2	2	2	2	1	1	0	1	2	2	4	0	4	0	2	1	1	0
DNA_nickase	1	0	0	0	5	1	0	0	0	1	1	4	0	2	0	1	0	0	0	0
Putative_acetolactate_synthase_small_subunit	0	0	0	0	0	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0
Methyl-accepting_chemotaxis_protein_McpH	5	2	3	7	6	2	3	1	6	6	8	5	10	7	3	6	4	1	1	2
Anthranilate_phosphoribosyltransferase_2	2	0	1	1	2	0	1	1	4	0	3	0	2	4	1	6	0	1	0	1
Leucine--tRNA_ligase	2	3	3	4	1	1	1	0	2	2	4	3	0	2	1	5	3	2	2	1
Hopanoid_C-3_methylase	2	0	1	2	0	1	0	0	1	2	0	2	1	4	0	3	0	0	2	1
Membrane-bound_lytic_murein_transglycosylase_A	1	0	1	0	1	0	0	1	1	1	1	4	1	0	0	1	1	1	2	0
ATP-dependent_dethiobiotin_synthetase_BioD_1	1	3	2	2	2	2	2	1	1	2	3	6	4	1	4	5	3	2	0	1
Bifunctional_protein_PyrR	1	1	2	2	1	1	0	1	1	0	1	0	1	3	1	1	0	1	1	1
Glycerol-3-phosphate_dehydrogenase_2	4	0	2	1	2	5	5	4	2	2	3	4	1	5	3	0	3	1	0	1
Modification_methylase_AplI	1	6	2	3	0	2	1	3	2	4	2	0	8	0	3	1	2	0	3	1
Uridylate_kinase	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Ribose-phosphate_pyrophosphokinase	0	2	3	7	0	2	1	0	1	1	1	3	0	1	2	4	0	2	0	0
HTH-type_transcriptional_repressor_Bm3R1	2	1	1	1	0	1	1	0	0	1	0	2	2	1	1	0	1	1	1	0
Transcriptional_regulatory_protein_SrrA	2	1	0	2	0	1	3	2	3	1	1	0	1	3	1	2	0	0	2	0
tRNA-Pro(tgg)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1-pyrroline-5-carboxylate_dehydrogenase_2	2	7	4	3	4	4	1	3	6	6	8	11	8	9	1	5	5	4	5	4
HTH-type_transcriptional_regulator_CymR	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	1	0	0	0
Exopolyphosphatase	5	0	1	2	0	2	3	1	4	2	0	5	5	0	3	5	0	3	3	1
Isonitrile_hydratase	3	0	0	0	1	1	0	1	5	1	3	5	0	0	1	0	1	1	1	0
RNA_helicase_CrhR	5	4	1	0	2	4	1	0	0	4	0	1	2	3	3	5	5	0	0	0
tRNA-Ser(tga)	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-hydroxyphenylpyruvate_dioxygenase	4	0	1	2	1	4	3	2	3	3	2	4	3	3	2	5	2	2	2	3
3'3'-cGAMP-specific_phosphodiesterase_2	3	1	0	1	1	1	0	1	2	1	4	1	7	2	2	5	1	0	1	1
Carbamoyl-phosphate_synthase_small_chain	2	4	3	1	1	1	4	2	4	1	4	3	5	2	4	2	4	0	0	0
HTH-type_transcriptional_repressor_NicS	1	1	1	1	0	0	0	0	1	0	2	1	1	0	0	3	0	0	1	0
Glutamine_synthetase	3	0	1	4	1	0	0	0	0	0	1	0	4	1	0	1	0	0	3	2
Glycerol_dehydrogenase	4	1	1	1	2	1	1	1	5	2	10	2	4	1	3	3	1	2	1	0
Thioredoxin	0	0	1	1	0	0	0	0	1	0	2	1	0	2	2	0	1	1	0	2
tRNA_(guanine-N(1)-)-methyltransferase	0	0	1	0	1	1	1	1	3	0	1	1	1	0	1	2	1	1	2	0
Holliday_junction_ATP-dependent_DNA_helicase_RuvB	0	1	1	1	0	1	1	2	0	1	0	0	0	1	1	4	0	0	0	1
Holliday_junction_ATP-dependent_DNA_helicase_RuvA	1	2	0	1	2	1	0	1	0	1	0	0	2	1	1	1	1	0	1	0
tRNA-Asn(gtt)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chondroitin_synthase	2	0	2	2	1	1	0	0	5	3	0	2	1	0	2	0	0	1	1	0
Cytochrome_f	1	0	1	1	1	0	0	0	1	0	0	0	1	2	0	2	0	1	1	0
Ribulose_bisphosphate_carboxylase_large_chain	2	1	3	5	1	2	1	2	5	2	5	1	4	1	3	7	0	1	0	1
2-C-methyl-D-erythritol_2,4-cyclodiphosphate_synthase	2	1	1	2	0	1	1	0	2	0	0	1	2	0	0	2	1	1	1	3
Nitrogen_fixation_protein_VnfA	0	1	1	1	2	0	2	0	1	1	5	5	3	3	3	3	1	1	1	1
Mycothiol_acetyltransferase	3	2	1	1	2	0	1	1	1	0	1	1	1	3	2	2	1	0	3	2
2-isopropylmalate_synthase	4	1	0	1	3	1	1	1	0	1	1	4	0	0	2	3	0	0	0	0
Energy-dependent_translational_throttle_protein_EttA	7	5	5	5	5	2	2	2	4	1	5	2	5	3	5	3	3	1	5	2
Cytochrome_b559_subunit_alpha	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
K(+)_H(+)_antiporter_NhaP	0	1	0	0	2	4	1	2	2	3	3	8	5	0	4	1	1	1	1	0
Aspartate-semialdehyde_dehydrogenase_2	0	1	0	1	1	1	0	2	1	2	0	7	3	0	2	1	2	1	2	1
Nitrogen_regulatory_protein_P-II	0	2	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1
Queuine_tRNA-ribosyltransferase	2	0	3	4	0	0	0	0	3	1	1	0	3	1	1	3	3	3	4	1
Aldehyde_dehydrogenase	2	3	0	1	2	4	2	1	5	3	7	4	16	8	5	6	2	1	1	3
UDP-N-acetylglucosamine_2-epimerase	1	1	0	1	0	0	1	0	2	0	4	3	3	2	0	1	4	0	0	1
Histidinol_dehydrogenase	0	4	2	2	2	4	2	1	0	6	2	1	4	0	3	0	2	0	0	0
putative_iron_export_permease_protein_FetB	1	2	0	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	1	0
UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine_ligase	2	1	0	4	1	0	1	1	2	2	1	6	1	4	1	3	0	1	3	1
Glycine--tRNA_ligase_alpha_subunit	4	0	2	2	0	1	1	0	4	1	0	1	3	0	4	2	0	1	2	2
Bicarbonate_transport_ATP-binding_protein_CmpD	0	1	0	0	4	3	0	0	0	1	0	1	0	3	1	2	2	1	0	0
Thylakoid-associated_single-stranded_DNA-binding_protein	1	0	1	2	0	0	0	1	0	1	1	0	1	0	1	2	0	1	0	2
Zinc_transporter_ZupT	2	1	2	2	0	2	1	1	3	3	1	1	1	0	5	3	1	1	2	2
DNA-binding_protein_HU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Carnitine_transport_ATP-binding_protein_OpuCA	0	5	0	0	3	2	2	1	1	3	1	3	3	4	3	3	1	0	0	1
tRNA-Lys(ttt)	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Leucyl_phenylalanyl-tRNA--protein_transferase	1	1	1	1	2	1	1	1	1	1	0	0	1	1	1	1	2	0	2	1
Putative_aldehyde_dehydrogenase_AldA	4	2	9	0	2	2	0	0	4	2	5	2	0	10	2	11	6	6	2	0
Heterocyst_differentiation_ATP-binding_protein_HepA	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0
GDP-mannose-dependent_alpha-mannosyltransferase	3	3	3	1	3	0	0	0	1	1	2	4	2	4	1	0	0	0	3	1
Acetyltransferase	1	3	1	1	2	1	1	0	0	0	2	0	5	2	0	2	2	1	0	0
30S_ribosomal_protein_S3	0	1	2	1	1	0	0	0	1	0	1	0	1	0	2	0	1	0	0	1
30S_ribosomal_protein_S2	0	1	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0	0	0
Phosphatidylcholine-sterol_acyltransferase	0	2	1	0	1	2	2	1	1	1	4	0	1	0	0	4	0	0	0	0
Tryptophan--tRNA_ligase	3	4	2	2	3	0	1	2	2	0	1	0	3	2	0	2	1	0	0	1
30S_ribosomal_protein_S5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
30S_ribosomal_protein_S4	1	1	2	2	1	0	0	1	0	0	1	2	0	0	1	2	0	1	1	2
Long-chain_acyl-[acyl-carrier-protein]_reductase	0	1	0	0	0	3	0	1	1	0	3	0	3	4	2	3	3	0	0	0
30S_ribosomal_protein_S9	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0
30S_ribosomal_protein_S8	1	1	0	0	0	1	0	0	0	1	1	3	1	2	1	0	0	0	0	0
Uracil_phosphoribosyltransferase	0	1	1	0	1	2	1	0	0	0	0	0	2	0	2	2	1	1	1	0
Aerobic_glycerol-3-phosphate_dehydrogenase	1	4	0	0	3	5	5	1	7	8	5	4	0	0	4	9	1	0	1	0
Carboxylesterase_2	1	0	0	1	0	0	0	0	0	0	2	0	0	4	0	0	2	0	0	0
Ribulose-phosphate_3-epimerase	1	2	1	1	1	0	0	0	1	1	1	0	2	2	1	3	1	1	1	1
Photosystem_I_reaction_center_subunit_PsaK	1	0	0	0	0	1	1	0	1	1	1	0	0	2	3	1	1	0	0	0
Thermonuclease	0	2	2	2	1	1	0	0	1	0	0	1	0	1	0	1	2	1	2	1
Cysteine--tRNA_ligase	9	1	6	6	0	3	1	1	0	3	2	4	7	0	1	6	4	3	6	1
2-deoxystreptamine_glucosyltransferase	3	5	1	1	3	2	1	4	1	1	1	0	4	1	1	2	0	1	1	1
Fused_nickel_transport_protein_NikMN	5	2	0	0	0	2	1	2	4	1	1	0	4	5	0	1	0	1	3	0
High_molecular_weight_rubredoxin	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0
Putative_diflavin_flavoprotein_A_3	3	1	1	1	2	0	2	0	4	2	2	5	0	2	3	1	2	0	1	1
sn-glycerol-3-phosphate_import_ATP-binding_protein_UgpC	2	1	5	4	2	3	5	1	7	2	4	4	3	0	2	6	0	1	2	1
Transcriptional_repressor_SmtB	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0
tRNA-2-methylthio-N(6)-dimethylallyladenosine_synthase	1	2	2	2	0	0	0	0	0	1	1	3	1	1	0	2	2	2	2	0
Aspartate_1-decarboxylase	2	1	2	2	3	0	4	2	2	1	2	2	1	0	1	0	2	1	1	0
Fructokinase	2	1	0	1	3	2	1	0	1	3	2	3	3	1	3	1	1	0	2	2
Prolyl_endopeptidase	1	1	2	2	4	1	2	3	1	1	3	6	9	10	4	0	2	1	1	1
Selenide,_water_dikinase	0	5	6	7	0	3	3	2	98	4	4	5	3	7	6	6	3	3	6	38
50S_ribosomal_protein_L3	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	0	0
50S_ribosomal_protein_L4	2	2	1	1	0	0	0	0	3	0	0	4	4	2	0	0	0	0	1	0
tRNA_dimethylallyltransferase	0	0	1	3	1	2	0	1	1	1	0	0	3	3	4	2	3	0	2	0
50S_ribosomal_protein_L6	2	2	0	1	1	1	0	1	1	1	3	0	0	1	1	6	1	0	1	0
L-aspartate_oxidase	3	7	2	6	8	3	2	5	4	3	5	5	10	2	7	5	2	1	2	5
Nicotinate_phosphoribosyltransferase_pncB2	4	1	6	6	2	1	0	2	1	0	0	6	2	0	2	4	1	2	2	1
50S_ribosomal_protein_L9	0	2	1	0	1	0	0	0	2	1	0	9	0	0	1	0	2	0	0	0
T-protein	1	2	3	3	1	0	0	1	1	1	0	1	3	1	1	3	3	2	3	2
Threonylcarbamoyl-AMP_synthase	1	3	0	5	0	0	0	3	1	0	0	4	2	1	0	1	0	1	1	5
Putative_thiosulfate_sulfurtransferase_SseB	0	0	0	1	2	0	2	0	3	0	2	2	6	0	1	1	0	0	1	1
ATP_synthase_subunit_b'	1	2	0	0	0	0	3	1	1	1	1	2	2	0	1	0	1	0	0	0
Ribose-5-phosphate_isomerase_A	3	3	0	0	2	1	2	0	0	0	2	0	4	3	1	0	7	0	0	0
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate_phosphatase	0	1	0	1	0	2	0	0	2	0	1	1	1	1	2	3	1	0	1	0
putative_D,D-dipeptide-binding_periplasmic_protein_DdpA	0	4	0	2	2	8	2	3	6	5	13	7	5	0	3	0	4	5	2	0
Ribosomal_RNA_small_subunit_methyltransferase_I	1	0	3	4	0	0	0	0	0	0	0	0	1	3	2	0	0	0	1	0
Ribosomal_RNA_large_subunit_methyltransferase_K_L	3	3	3	3	0	0	3	2	4	0	3	0	5	2	1	2	1	0	1	1
Ribosomal_RNA_small_subunit_methyltransferase_E	3	1	3	0	1	0	1	1	2	1	0	3	1	0	1	1	1	1	2	1
Ribosomal_RNA_small_subunit_methyltransferase_D	1	2	0	1	2	0	0	0	1	1	1	0	2	2	1	0	0	0	0	0
Ribosomal_RNA_small_subunit_methyltransferase_A	3	1	2	2	0	0	1	0	4	1	1	3	3	1	5	2	2	2	2	1
Succinate_dehydrogenase_iron-sulfur_subunit	3	0	2	2	2	1	2	1	3	1	1	1	2	0	5	2	0	0	2	2
Ribosomal_RNA_small_subunit_methyltransferase_B	4	3	1	4	2	0	1	0	5	0	1	3	2	0	5	1	3	1	1	2
Glutamate_racemase	1	2	1	1	1	0	1	3	1	0	3	1	0	3	1	1	3	1	1	1
Riboflavin_synthase	1	4	2	3	6	3	1	1	5	1	3	6	3	2	2	3	2	1	2	0
UDP-N-acetylmuramate--L-alanine_ligase	4	3	2	5	3	4	1	4	3	4	4	4	7	5	4	5	3	4	4	3
Phosphoadenosine_phosphosulfate_reductase	2	0	0	1	0	0	0	0	0	0	1	2	1	2	0	0	1	0	0	1
transfer-messenger_RNA,_SsrA	1	0	1	1	0	0	0	0	7	0	1	0	0	0	2	0	0	0	0	0
Energy-coupling_factor_transporter_ATP-binding_protein_EcfA2	0	1	0	2	1	2	2	1	0	1	0	0	2	0	2	1	1	1	2	1
Putative_signal_peptide_peptidase_SppA	1	0	2	1	0	0	0	0	2	1	0	0	0	0	1	4	1	0	2	0
Mannosylglycerate_hydrolase	8	3	4	10	6	2	4	2	6	4	7	4	8	17	5	4	6	5	6	1
Copper-sensing_transcriptional_repressor_RicR	0	2	1	1	0	1	1	0	0	2	0	0	2	1	1	0	0	0	2	0
Sulfofructose_kinase	0	2	1	1	2	0	1	2	0	1	1	0	0	0	1	3	0	0	1	0
Ferredoxin,_2Fe-2s	0	1	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0
N-acetylmuramoyl-L-alanine_amidase_LytC	1	4	1	3	5	2	3	2	3	3	3	6	11	1	4	5	1	3	0	0
Mannosylfructose-phosphate_phosphatase	1	0	0	0	0	2	1	1	0	1	0	2	3	1	1	0	1	1	0	0
putative_siderophore_transport_system_permease_protein_YfhA	2	1	2	1	4	0	0	1	1	3	2	2	0	2	1	3	1	0	2	1
Photosystem_II_reaction_center_protein_L	0	1	1	1	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0
Vitamin_K_epoxide_reductase	3	2	3	3	3	1	2	0	1	2	2	2	1	1	1	3	0	3	3	2
Deoxyguanosinetriphosphate_triphosphohydrolase-like_protein	0	1	0	0	5	0	3	1	2	1	2	6	2	2	2	2	0	0	1	0
Phosphate-import_permease_protein_PhnE	2	2	3	4	8	3	4	0	7	3	3	6	0	0	2	3	3	2	3	3
Poly(3-hydroxyalkanoate)_polymerase_subunit_PhaC	1	4	1	2	0	0	1	0	2	1	2	4	0	1	1	2	1	1	1	0
Poly(3-hydroxyalkanoate)_polymerase_subunit_PhaE	3	1	1	1	3	0	1	1	2	0	0	1	1	1	0	0	2	0	2	2
putative_multidrug_resistance_protein_EmrK	0	5	0	0	8	0	2	2	2	1	2	0	4	0	3	0	14	0	0	0
Dihydroorotate_dehydrogenase_(quinone)	4	2	2	3	3	1	3	1	1	3	30	2	2	2	2	2	2	0	1	1
Phosphohistidine_phosphatase_SixA	3	0	1	3	0	0	0	0	4	0	1	0	0	0	1	0	0	0	3	0
Sensory_transduction_protein_regX3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Dihydrolipoyllysine-residue_acetyltransferase_component_of_pyruvate_dehydrogenase_complex	2	1	1	1	1	0	1	0	3	1	0	0	2	0	0	0	1	1	0	1
Signal_recognition_particle_protein	1	1	1	2	2	2	0	0	2	2	2	3	0	2	3	5	3	2	0	0
Glutamine--fructose-6-phosphate_aminotransferase_[isomerizing]	2	0	1	3	1	1	3	0	0	2	2	2	5	3	2	1	1	2	3	1
C-methyltransferase_CouO	3	1	1	4	5	0	1	1	0	3	3	5	0	4	2	0	2	2	2	1
putative_lipid_II_flippase_MurJ	2	1	2	3	1	0	1	2	3	1	4	7	0	3	1	4	3	0	3	2
Shikimate_dehydrogenase_(NADP(+))	5	1	1	1	2	2	2	1	1	2	1	0	2	1	2	3	2	0	16	1
Alkaline_phosphatase	4	0	3	4	1	1	3	0	0	2	0	4	80	2	1	2	0	2	4	1
Succinate_dehydrogenase_flavoprotein_subunit	1	3	2	2	3	2	2	0	0	3	2	3	6	0	3	1	6	0	2	0
2-oxoisovalerate_dehydrogenase_subunit_beta	0	2	0	0	0	3	0	0	0	2	4	1	0	3	4	0	0	0	0	0
ABC_transporter_glutamine-binding_protein_GlnH	32	2	1	5	5	0	1	0	0	5	6	3	4	1	3	1	1	3	2	0
Non-motile_and_phage-resistance_protein	4	4	3	3	0	1	3	4	3	2	5	5	10	0	4	9	2	1	1	1
Acetoin_utilization_protein_AcuC	3	2	0	3	4	2	2	4	0	1	2	4	2	3	3	1	1	2	7	1
Shikimate_kinase_1	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0
Biotin_carboxylase	1	2	1	1	0	1	1	2	1	2	2	1	0	5	2	0	0	0	3	0
Heptaprenyl_diphosphate_synthase_component_2	2	2	0	1	1	1	4	3	2	2	0	1	1	3	0	3	0	2	1	1
Aminopeptidase_N	0	3	2	3	3	4	3	4	4	4	5	5	5	1	3	3	3	2	5	0
8-methylmenaquinol:fumarate_reductase_membrane_anchor_subunit	1	1	0	0	1	0	0	0	0	1	3	4	1	0	2	0	1	0	0	0
Alanine_dehydrogenase_2	0	3	0	0	2	1	3	3	1	2	1	3	1	3	0	2	1	0	1	0
Efflux_pump_membrane_transporter_BepE	5	3	7	8	2	5	2	2	5	5	1	3	7	6	6	4	4	4	6	4
Epoxyqueuosine_reductase	1	0	0	1	0	0	1	1	4	1	2	2	0	0	0	2	0	0	0	0
DNA_processing_protein_DprA	1	2	0	1	2	1	0	1	1	1	1	2	3	0	3	2	2	0	0	1
Protein_Thf1	1	0	2	2	1	1	1	2	2	3	1	2	0	7	2	1	2	1	2	0
Inner_membrane_protein_alx	1	0	0	1	0	2	2	1	0	2	3	0	4	1	2	0	2	1	0	1
Vitamin_B12-binding_protein	1	4	1	1	0	3	0	0	1	2	0	0	3	3	0	0	0	0	3	1
Bifunctional_adenosylcobalamin_biosynthesis_protein_CobU	2	1	2	2	0	0	0	0	0	0	1	7	0	0	0	1	0	2	1	0
Segregation_and_condensation_protein_B	1	0	0	1	0	0	0	0	0	0	0	12	2	0	1	2	0	0	0	0
Peptidyl-tRNA_hydrolase	0	2	0	0	0	2	1	0	0	2	1	0	0	3	2	2	1	1	0	1
Endoribonuclease_MazF	0	0	0	0	2	1	1	0	0	0	2	0	1	0	1	2	1	0	3	0
Histidine_biosynthesis_bifunctional_protein_HisB	1	3	0	0	5	1	6	4	4	3	1	3	0	5	1	1	5	0	1	0
ATP_synthase_subunit_delta	0	1	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0
eval_alignments	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tRNA_(cytidine(34)-2'-O)-methyltransferase	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Proclavaminate_amidinohydrolase	0	1	0	0	1	0	0	0	0	1	1	4	3	0	1	0	2	0	0	0
Cobalt-precorrin-2_C(20)-methyltransferase	0	0	1	2	1	0	0	1	0	1	0	0	2	0	1	2	0	0	1	0
GTP-binding_protein_TypA_BipA	0	1	1	2	2	2	0	0	4	1	5	3	5	6	4	2	2	1	0	1
putative_murein_peptide_carboxypeptidase	6	3	1	2	1	2	0	1	2	3	3	4	1	1	3	3	3	0	0	0
AI-2_transport_protein_TqsA	2	0	0	1	2	1	1	0	1	4	1	5	0	0	2	1	3	0	0	0
Uroporphyrinogen_decarboxylase	1	4	0	0	0	2	0	1	3	1	2	1	2	0	1	0	0	0	1	0
Putative_phosphinothricin_acetyltransferase_YwnH	2	0	1	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0
Photosystem_I_P700_chlorophyll_a_apoprotein_A1	3	5	3	7	3	4	4	0	4	2	2	2	1	13	3	3	3	6	6	2
Phycocyanobilin_lyase_subunit_beta	0	1	1	2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Inner_membrane_symporter_YicJ	2	6	2	4	5	2	5	2	0	2	2	5	5	4	5	7	4	1	5	0
Zinc_uptake_regulation_protein	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Putative_oxidoreductase_YceM	3	3	3	2	4	2	1	0	2	3	2	4	7	4	5	3	3	0	1	1
Phosphate-specific_transport_system_accessory_protein_PhoU	2	5	0	1	2	2	0	0	1	3	4	1	2	5	4	2	4	1	1	0
Methionyl-tRNA_formyltransferase	1	3	1	2	1	1	1	0	0	1	1	1	1	0	1	0	3	0	0	1
Anti-sigma_F_factor	1	0	0	0	2	1	0	0	0	1	2	2	1	0	0	2	0	0	2	1
HTH-type_transcriptional_repressor_ComR	0	2	2	7	3	0	1	0	5	2	0	6	1	0	4	2	3	1	1	0
NAD(P)H-quinone_oxidoreductase_subunit_K_1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0
Anthranilate_phosphoribosyltransferase	0	1	2	1	1	0	1	0	2	1	3	0	5	2	0	3	1	0	1	0
50S_ribosomal_protein_L27	1	0	0	0	2	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0
RNA_polymerase_sigma_factor_SigA	2	1	1	1	3	1	3	1	0	1	1	3	4	3	0	1	4	1	2	0
50S_ribosomal_protein_L24	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0
50S_ribosomal_protein_L23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
dTDP-4-dehydrorhamnose_3,5-epimerase	1	2	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0
50S_ribosomal_protein_L21	0	0	0	0	0	0	0	0	1	0	0	5	0	0	1	0	0	0	0	0
50S_ribosomal_protein_L20	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
NAD(P)_transhydrogenase_subunit_beta	1	3	1	0	2	0	0	0	2	0	1	6	5	3	3	3	6	0	1	0
Putative_2-aminoethylphosphonate_transport_system_permease_protein_PhnU	3	4	1	4	7	2	5	1	4	5	6	3	0	0	5	4	3	2	4	1
Phosphorylated_carbohydrates_phosphatase	3	1	3	3	3	1	2	0	4	1	1	1	0	3	4	2	2	0	1	1
Transcriptional_repressor_NrdR	1	0	0	0	0	0	0	0	1	0	2	0	0	1	1	1	0	0	0	0
Fe_S_biogenesis_protein_NfuA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
50S_ribosomal_protein_L29	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Putative_glucose-6-phosphate_1-epimerase	0	3	1	1	0	1	1	1	1	3	1	1	2	0	2	3	1	1	1	1
DNA-directed_RNA_polymerase_subunit_alpha	2	1	1	2	2	2	1	1	1	4	0	1	3	3	1	2	1	0	0	1
Photosystem_II_CP47_reaction_center_protein	1	1	1	1	3	0	1	4	1	1	3	4	3	3	2	2	0	0	1	0
Carnitine_transport_binding_protein_OpuCC	0	1	1	1	0	1	0	0	0	0	1	1	1	0	0	1	2	0	0	1
Undecaprenyl-diphosphatase	2	1	2	1	1	0	0	0	5	1	1	1	2	5	1	1	0	0	2	0
Stage_V_sporulation_protein_K	2	5	0	2	2	3	2	2	2	3	3	2	3	3	3	0	2	0	2	3
tRNA-dihydrouridine(20_20a)_synthase	3	3	3	3	0	1	1	1	3	1	1	2	4	0	3	3	2	3	0	3
Apolipoprotein_N-acyltransferase	5	3	0	5	2	2	2	3	4	2	4	0	6	3	4	5	3	0	4	2
putative_multidrug_resistance_ABC_transporter_ATP-binding_permease_protein_YheI	2	0	2	3	0	1	1	1	2	1	1	1	1	1	1	2	1	0	3	0
putative_2-phosphosulfolactate_phosphatase	2	3	1	3	2	1	0	1	0	1	1	2	2	2	2	0	1	0	1	1
